"ndcnum","prodnme","gennme"
"51927275300","naltrexone hcl","Naltrexone Hydrochloride"
"51927354800","naltrexone","Naltrexone"
"51927360200","naltrexone hcl","Naltrexone Hydrochloride"
"51927437700","naltrexone hcl","Naltrexone Hydrochloride"
"51927508600","naltrexone hcl","Naltrexone Hydrochloride"
"52152010502","naltrexone hcl","Naltrexone Hydrochloride"
"52152010504","naltrexone hcl","Naltrexone Hydrochloride"
"52152010530","naltrexone hcl","Naltrexone Hydrochloride"
"52372075101","naltrexone","Naltrexone Hydrochloride"
"52372075102","naltrexone","Naltrexone Hydrochloride"
"52372075103","naltrexone","Naltrexone Hydrochloride"
"52427069203","buprenorphine-naloxone","Buprenorphine/Naloxone"
"52427069211","buprenorphine-naloxone","Buprenorphine/Naloxone"
"52427069403","buprenorphine-naloxone","Buprenorphine/Naloxone"
"52427069411","buprenorphine-naloxone","Buprenorphine/Naloxone"
"52427069803","buprenorphine-naloxone","Buprenorphine/Naloxone"
"52427069811","buprenorphine-naloxone","Buprenorphine/Naloxone"
"52440010014","probuphine","Buprenorphine"
"52959030430","suboxone","Buprenorphine/Naloxone"
"52959074930","suboxone","Buprenorphine/Naloxone"
"53217013830","buprenorphine-naloxone","Buprenorphine/Naloxone"
"53217024630","buprenorphine","Buprenorphine Hydrochloride"
"53217026130","naltrexone hcl","Naltrexone Hydrochloride"
"54123011430","zubsolv","Buprenorphine/Naloxone"
"54123090730","zubsolv","Buprenorphine/Naloxone"
"54123091430","zubsolv","Buprenorphine/Naloxone"
"54123092930","zubsolv","Buprenorphine/Naloxone"
"54123095730","zubsolv","Buprenorphine/Naloxone"
"54123098630","zubsolv","Buprenorphine/Naloxone"
"54569141600","buprenex","Buprenorphine Hydrochloride"
"54569141601","buprenex","Buprenorphine Hydrochloride"
"54569549600","suboxone","Buprenorphine/Naloxone"
"54569573900","suboxone","Buprenorphine/Naloxone"
"54569573901","suboxone","Buprenorphine/Naloxone"
"54569573902","suboxone","Buprenorphine/Naloxone"
"54569639900","suboxone","Buprenorphine/Naloxone"
"54569640800","buprenorphine-naloxone","Buprenorphine/Naloxone"
"54569657800","buprenorphine","Buprenorphine Hydrochloride"
"54569672000","naltrexone hcl","Naltrexone Hydrochloride"
"54569913900","naltrexone hcl","Naltrexone Hydrochloride"
"54868557400","naltrexone","Naltrexone Hydrochloride"
"54868570700","suboxone","Buprenorphine/Naloxone"
"54868570701","suboxone","Buprenorphine/Naloxone"
"54868570702","suboxone","Buprenorphine/Naloxone"
"54868570703","suboxone","Buprenorphine/Naloxone"
"54868570704","suboxone","Buprenorphine/Naloxone"
"54868575000","suboxone","Buprenorphine/Naloxone"
"55045378403","suboxone","Buprenorphine/Naloxone"
"55390010010","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"55700014730","suboxone","Buprenorphine/Naloxone"
"55700018430","buprenorphine-naloxone","Buprenorphine/Naloxone"
"55700030230","buprenorphine","Buprenorphine Hydrochloride"
"55700030330","buprenorphine","Buprenorphine Hydrochloride"
"55700056804","buprenorphine","Buprenorphine"
"55700057904","buprenorphine","Buprenorphine"
"55700090130","buprenorphine-naloxone","Buprenorphine/Naloxone"
"55887031204","suboxone","Buprenorphine/Naloxone"
"55887031215","suboxone","Buprenorphine/Naloxone"
"58284010014","probuphine","Buprenorphine"
"58597840701","naltrexone hcl","Naltrexone Hydrochloride"
"58597840702","naltrexone hcl","Naltrexone Hydrochloride"
"58597840704","naltrexone hcl","Naltrexone Hydrochloride"
"58597840706","naltrexone hcl","Naltrexone Hydrochloride"
"59385001201","bunavail","Buprenorphine/Naloxone"
"59385001230","bunavail","Buprenorphine/Naloxone"
